"site","service","id","is_active","type","desc","category","security_app","info0","info1","attr0","attr1","attr2","attr3","attr4","attr5","attr6","attr7","attr8","attr9","attr10","attr11","attr12","attr13","attr14","attr15","attr16","attr17","attr18","attr19","attr20","attr21","attr22","attr23","attr24","attr25","attr26","attr27","attr28","attr29","attr30","attr31","attr32","attr33","attr34","attr35","attr36","attr37","attr38","attr39","comment","table0","table1","table2","table3","table4","table5","table6","table7","table8","table9","table10","table11","table12","table13","table14","table15","table16","table17","table18","table19","table20","table21","table22","table23","table24","table25","table26","table27","table28","table29","table30","table31","table32","table33","table34","table35","table36","table37","table38","table39","table40","table41","table42","table43","table44","table45","table46","table47","table48","table49","table50","table51","table52","table53","table54","table55","table56","table57","table58","table59","yes_no0","yes_no1","yes_no2","yes_no3","yes_no4","yes_no5","yes_no6","yes_no7","yes_no8","yes_no9","yes_no10","yes_no11","yes_no12","yes_no13","yes_no14","yes_no15","yes_no16","yes_no17","yes_no18","yes_no19"
TEXAS,UIS,9_28W_POND,Y,REMDEV,9-28 West Frac Pond,REMDEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,9_BC_1,Y,TOWSCADA,9 BC #1,DDSFAC,,20171102,Poll,,,9_BC_POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,BARNHART,BARNE3,,71158,,PND,,,,,,,,9BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,9_BC_POND,Y,REMDEV,9 BC Frac Pond,REMDEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,AJAX_PLGL,N,REMDEV,Ajax Pipeline Device,REMDEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,AJAX_PL_GL,N,TOWSCADA,Ajax Pipeline Gas Lift Meter,DDSFAC,,46084022,,,,UNIV9C_FAC2,,,,,,,,,,,,,,,,,,,,,,,,,UNIV9C_FAC2,InjGasMeter,,,,,,,,,,,,,TX,TEXON,TEXON N,,73166,METER,GL (84),GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,ARNETT_SD,Y,REMDEV,Arnett SWD,REMDEV,,,,,,ARNETT_SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,CAVALIER,LONE DRAW,SWD,84036,,,,,,,71534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,ARNETT_SWD_GB1,Y,TOWSCADA,Arnett SWD Gun Barrel 1,DDSFAC,,,Poll,,,ARNETT_SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,CAVALIER,LONE DRAW,SWD,84036,TANK,,,,,,71534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,ARNETT_SWD_IN1,Y,TOWSCADA,Arnett SWD Inlet,DDSFAC,,,Poll,,,ARNETT_SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,CAVALIER,LONE DRAW,SWD,84036,,INLET,,,,,71534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,ARNETT_SWD_OT1,Y,TOWSCADA,Arnett SWD Oil Tank 1,DDSFAC,,,Poll,,,ARNETT_SD,,,,,,,,,,,,,,,,,,,,,,,,,ARNETT_SD,OilTank3,,,,,,,,,,,,,TX,CAVALIER,LONE DRAW,SWD,84036,TANK,,OIL,,,,71534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,ARNETT_SWD_PMP1,Y,TOWSCADA,Arnett South SWD Charge Pump 1,DDSFAC,,,Poll,,,ARNETT_SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,CAVALIER,LONE DRAW,,84036,METER,PUMP,WTR,,,,71534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
